DailyTimeSpentOnSite,Age,AreaIncome,DailyInternetUsage,AdTopicLine,City,Male,Country,Timestamp,ClickedOnAd
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2022-04-29T07:52:48Z,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,0,Canada,2022-04-29T07:42:48Z,1
75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,2022-04-29T07:41:06Z,0
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,2022-04-29T07:39:41Z,1
34.04,34,40182.84,174.88,Reverse-engineered context-sensitive emulation,Elizabethport,1,El Salvador,2022-04-29T07:37:28Z,1
62.31,47,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,2022-04-29T07:36:58Z,1
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,2022-04-29T07:36:22Z,1
72.55,22,58953.01,202.34,Balanced empowering success,New Cynthia,0,Bosnia and Herzegovina,2022-04-29T07:33:22Z,0
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,2022-04-29T07:30:24Z,1
75.55,22,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,0,Taiwan,2022-04-29T07:29:30Z,1
66.89,23,64433.99,208.24,Universal incremental array,Sandersland,1,Honduras,2022-04-29T07:28:43Z,0
87.3,35,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,0,Estonia,2022-04-29T07:28:16Z,0
66.12,49,39031.89,113.8,Stand-alone motivating moratorium,South Alexisborough,0,Cote d'Ivoire,2022-04-29T07:27:41Z,1
49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,0,Samoa,2022-04-29T07:21:25Z,1
71.03,55,28186.65,150.77,Programmable didactic capacity,Port Georgebury,0,China,2022-04-29T07:18:36Z,1
61.72,26,67279.06,218.49,Grass-roots systematic hardware,Port Daniel,0,Venezuela,2022-04-29T07:15:37Z,0
73.15,25,64631.22,211.12,Face-to-face executive encryption,Lake Patrick,1,Libyan Arab Jamahiriya,2022-04-29T07:14:04Z,0
65.07,24,57545.56,233.85,Multi-lateral multi-state encryption,Port Raymondfort,0,Mali,2022-04-29T07:13:53Z,0
36.91,48,54645.2,159.69,Ameliorated coherent open architecture,North Samantha,0,Zimbabwe,2022-04-29T07:13:00Z,1
67.47,24,60514.05,225.05,Multi-tiered heuristic strategy,Watsonfort,1,Vanuatu,2022-04-29T07:12:52Z,0
58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,2022-04-29T07:10:29Z,1
80.38,30,55130.96,238.06,Business-focused holistic benchmark,Port Anthony,0,Albania,2022-04-29T07:07:31Z,0
88.12,38,46653.75,230.91,Realigned next generation projection,Hurleyborough,0,Gibraltar,2022-04-29T07:05:57Z,0
91.15,38,36834.04,184.98,Robust uniform framework,Joshuamouth,0,Cyprus,2022-04-29T07:04:05Z,0
89.71,48,51501.38,204.4,Versatile local forecast,Sarafurt,1,Bahrain,2022-04-29T07:00:38Z,0
71.33,23,31072.44,169.4,Optimized attitude-oriented initiative,Josephmouth,0,Japan,2022-04-29T06:54:21Z,1
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,2022-04-29T06:52:07Z,0
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,2022-04-29T06:51:43Z,1
87.27,30,51824.01,204.27,Fully-configurable 5thgeneration circuit,West Melissashire,1,Christmas Island,2022-04-29T06:51:23Z,1
38.93,39,27508.41,162.08,Intuitive exuding service-desk,Millerchester,0,Liberia,2022-04-29T06:49:10Z,1
71.0,22,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,2022-04-29T06:46:14Z,0
43.67,31,25686.34,166.29,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),2022-04-29T06:41:44Z,1
65.59,47,28265.81,121.81,Digitized disintermediate ability,Brandymouth,0,Indonesia,2022-04-29T06:41:38Z,1
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,2022-04-29T06:37:56Z,0
73.88,29,63109.74,233.61,Digitized zero-defect implementation,Kennethview,0,Saint Helena,2022-04-29T06:37:15Z,0
35.21,39,52340.1,154.0,Advanced disintermediate data-warehouse,New Timothy,1,United States Minor Outlying Islands,2022-04-29T06:36:53Z,1
37.0,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,1,Kenya,2022-04-29T06:36:52Z,1
76.2,24,47258.59,228.81,Optimized coherent Internet solution,Lake Susan,1,Japan,2022-04-29T06:35:08Z,0
76.44,26,58820.16,224.2,Distributed intangible database,Troyville,1,Madagascar,2022-04-29T06:34:20Z,0
36.98,31,39552.49,167.87,Fully-configurable clear-thinking throughput,Micheletown,1,Northern Mariana Islands,2022-04-29T06:25:47Z,1
37.65,51,50457.01,161.29,Automated stable help-desk,Davidview,1,Bahrain,2022-04-29T06:22:03Z,1
85.26,32,55424.24,224.07,Reverse-engineered dynamic function,Lisafort,1,Netherlands Antilles,2022-04-29T06:18:11Z,0
52.17,44,57594.7,115.37,Optional modular throughput,New Julianberg,1,Equatorial Guinea,2022-04-29T06:17:18Z,1
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2022-04-29T06:14:10Z,0
75.55,36,31998.72,123.71,Decentralized attitude-oriented interface,South Davidmouth,1,Bosnia and Herzegovina,2022-04-29T06:05:12Z,1
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2022-04-29T06:02:27Z,0
77.36,41,49597.08,115.79,Fully-configurable asynchronous firmware,Port Jennifer,0,El Salvador,2022-04-29T06:00:16Z,1
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Reneechester,1,Serbia,2022-04-29T06:00:15Z,1
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,1,Christmas Island,2022-04-29T05:48:20Z,0
37.05,39,49742.83,142.81,Automated object-oriented firmware,Tracyhaven,1,Antigua and Barbuda,2022-04-29T05:47:09Z,1
46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,1,Guyana,2022-04-29T05:44:56Z,1
43.83,45,35684.82,129.01,Total human-resource flexibility,Greerport,0,Saudi Arabia,2022-04-29T05:39:16Z,1
87.97,35,48918.55,149.25,Secured secondary superstructure,Port Brianfort,1,France,2022-04-29T05:38:01Z,0
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,1,El Salvador,2022-04-29T05:35:54Z,0
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,2022-04-29T05:34:33Z,1
80.94,36,60803.0,239.94,Self-enabling local strategy,North Tiffany,0,Bermuda,2022-04-29T05:31:22Z,0
40.34,29,32549.95,173.75,Object-based motivating instruction set,Clarkborough,0,Tokelau,2022-04-29T05:29:38Z,1
65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,0,Ukraine,2022-04-29T05:28:18Z,0
83.69,36,68717.0,192.57,Robust context-sensitive neural-net,Shelbyport,0,Fiji,2022-04-29T05:27:35Z,0
80.47,42,70505.06,215.18,Grass-roots multimedia policy,East Jennifer,1,Mali,2022-04-29T05:23:28Z,0
67.56,47,50628.31,109.98,Reduced background data-warehouse,Zacharyton,0,Paraguay,2022-04-29T05:20:19Z,1
81.32,25,52416.18,165.65,Pre-emptive next generation Internet solution,Daisymouth,0,Moldova,2022-04-29T05:12:57Z,0
87.18,31,58287.86,193.6,Right-sized logistical middleware,West Andrew,0,Madagascar,2022-04-29T05:12:44Z,0
59.88,30,75535.14,193.63,Reverse-engineered content-based intranet,West Michaelstad,1,French Polynesia,2022-04-29T05:11:01Z,0
82.72,31,65704.79,179.82,Cross-group global orchestration,North Monicaville,0,Belarus,2022-04-29T05:07:11Z,0
76.49,23,56457.01,181.11,Public-key asynchronous matrix,Sherrishire,0,Brazil,2022-04-29T05:05:27Z,0
74.65,28,67669.06,212.56,Robust transitional ability,East Timothy,0,French Southern Territories,2022-04-29T05:00:12Z,0
50.33,50,62657.53,133.2,Sharable analyzing alliance,South Lauraton,1,Micronesia,2022-04-29T04:57:51Z,1
89.8,36,57330.43,198.24,User-centric attitude-oriented adapter,West Tanner,0,Lesotho,2022-04-29T04:57:50Z,0
70.66,43,63450.96,120.95,Versatile scalable encryption,Lake Craigview,1,Mauritius,2022-04-29T04:57:14Z,1
56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,0,France,2022-04-29T04:53:22Z,1
79.36,33,62330.75,234.72,Cross-platform directional intranet,East Susanland,1,Gambia,2022-04-29T04:50:44Z,0
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,0,Pakistan,2022-04-29T04:47:37Z,0
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,1,Russian Federation,2022-04-29T04:43:07Z,1
35.25,50,47051.02,194.44,Intuitive global website,Waltertown,0,Iran,2022-04-29T04:39:47Z,1
73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,1,Hungary,2022-04-29T04:38:41Z,1
69.0,32,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2022-04-29T04:37:34Z,0
53.33,34,44275.13,111.63,Configurable impactful productivity,Courtneyfort,1,Andorra,2022-04-29T04:34:35Z,1
75.8,36,71222.4,224.9,Multi-layered fresh-thinking neural-net,East Michaelland,0,Belize,2022-04-29T04:30:43Z,0
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,0,Cyprus,2022-04-29T04:21:14Z,1
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,2022-04-29T04:18:46Z,1
69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,0,Lao People's Democratic Republic,2022-04-29T04:16:08Z,0
42.32,29,63891.29,187.09,Digitized radical architecture,New Joshuaport,1,South Georgia and the South Sandwich Islands,2022-04-29T04:14:13Z,1
74.07,22,50950.24,165.43,Cross-group non-volatile secured line,Joneston,1,Ghana,2022-04-29T04:13:35Z,0
80.96,39,67866.95,225.0,Integrated leadingedge frame,New Travis,1,Wallis and Futuna,2022-04-29T04:12:30Z,0
39.3,32,48335.2,145.73,Decentralized bottom-line help-desk,Jonathanland,0,Lithuania,2022-04-29T04:11:37Z,1
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,2022-04-29T04:10:20Z,0
63.26,29,54787.37,120.46,Customizable holistic archive,East Donna,1,Ethiopia,2022-04-29T04:02:45Z,1
83.16,41,70185.06,194.95,Decentralized 24hour approach,Robinsonland,0,Finland,2022-04-29T04:00:35Z,0
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,2022-04-29T03:59:26Z,0
83.66,38,68877.02,175.14,Profound dynamic attitude,East Debraborough,0,Syrian Arab Republic,2022-04-29T03:58:36Z,0
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,2022-04-29T03:56:18Z,1
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,2022-04-29T03:54:19Z,1
41.35,27,39193.45,162.46,Streamlined homogeneous analyzer,Hintonport,1,Colombia,2022-04-29T03:51:27Z,1
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2022-04-29T03:50:52Z,0
57.05,41,50278.89,269.96,Seamless full-range website,Port Erinberg,1,Sierra Leone,2022-04-29T03:45:19Z,1
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2022-04-29T03:43:55Z,0
63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,1,Spain,2022-04-29T03:41:30Z,1
32.6,38,40159.2,190.05,Customizable homogeneous contingency,Tylerport,0,Syrian Arab Republic,2022-04-29T03:39:09Z,1
68.01,25,68357.96,188.32,Ameliorated actuating workforce,Kaylashire,1,Afghanistan,2022-04-29T03:35:35Z,0
49.21,46,49206.4,115.6,Realigned 24/7 core,Carterland,0,Mexico,2022-04-29T03:34:35Z,1
77.47,36,70510.59,222.91,Assimilated actuating policy,Hatfieldshire,1,Jamaica,2022-04-29T03:29:12Z,0
67.91,23,55002.05,146.8,Re-engineered non-volatile neural-net,Hubbardmouth,1,Latvia,2022-04-29T03:28:31Z,1
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,2022-04-29T03:22:15Z,1
66.47,31,58037.66,256.39,Vision-oriented human-resource synergy,Lindsaymouth,1,France,2022-04-29T03:13:48Z,0
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,1,Dominica,2022-04-29T03:12:25Z,1
54.55,44,41547.62,109.04,Re-engineered optimal policy,West Gabriellamouth,0,Canada,2022-04-29T03:10:17Z,1
67.8,30,39809.69,117.75,Team-oriented 6thgeneration extranet,New Jay,1,Isle of Man,2022-04-29T02:59:37Z,1
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,2022-04-29T02:58:27Z,0
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,0,Portugal,2022-04-29T02:52:10Z,0
40.19,37,55358.88,136.99,Right-sized system-worthy project,Adamsbury,0,France,2022-04-29T02:51:13Z,1
44.72,46,40468.53,123.86,Cross-group systemic customer loyalty,North Jenniferburgh,1,Grenada,2022-04-29T02:48:18Z,1
87.35,35,58114.3,158.29,Cloned dedicated analyzer,Carsonshire,1,Gibraltar,2022-04-29T02:47:17Z,0
37.01,50,48826.14,216.01,Secured encompassing Graphical User Interface,Port Derekberg,0,San Marino,2022-04-29T02:44:13Z,1
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2022-04-29T02:40:02Z,1
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,1,Thailand,2022-04-29T02:39:26Z,0
59.22,55,39131.53,126.39,Polarized 5thgeneration matrix,North Andrew,1,Honduras,2022-04-29T02:39:00Z,1
55.55,19,41920.79,187.95,Proactive bandwidth-monitored policy,West Steven,0,Guatemala,2022-04-29T02:35:54Z,0
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,2022-04-29T02:35:29Z,0
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,1,Bangladesh,2022-04-29T02:34:06Z,0
74.18,28,69874.18,203.87,Front-line even-keeled website,Lake Lisa,0,Cayman Islands,2022-04-29T02:31:36Z,0
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2022-04-29T02:31:19Z,0
78.01,26,62729.4,200.71,Focused multi-state workforce,Donaldshire,1,French Guiana,2022-04-29T02:29:19Z,0
75.0,29,63965.16,230.36,Secured upward-trending benchmark,Perezland,1,Eritrea,2022-04-29T02:29:03Z,0
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2022-04-29T02:13:52Z,0
46.66,45,49101.67,118.16,Grass-roots mission-critical emulation,Wrightview,0,Antigua and Barbuda,2022-04-29T02:07:17Z,1
78.35,46,53185.34,253.48,Pre-emptive client-server open system,Parkerhaven,0,Brazil,2022-04-29T02:07:14Z,0
34.78,48,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,1,South Africa,2022-04-29T02:01:55Z,1
78.96,50,69868.48,193.15,Stand-alone well-modulated product,East Jason,0,Cayman Islands,2022-04-29T01:55:38Z,1
73.94,26,55411.06,236.15,Front-line non-volatile implementation,Lukeport,1,Isle of Man,2022-04-29T01:53:14Z,0
76.07,36,68033.54,235.56,Implemented bottom-line implementation,West Michaelshire,0,Denmark,2022-04-29T01:42:28Z,0
66.0,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,1,Australia,2022-04-29T01:40:15Z,1
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,2022-04-29T01:39:19Z,0
32.84,40,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,0,Trinidad and Tobago,2022-04-29T01:36:19Z,1
81.37,33,66412.04,215.04,Enhanced regional conglomeration,New Jessicaport,0,Vietnam,2022-04-29T01:20:05Z,0
75.92,22,38427.66,182.65,Monitored context-sensitive initiative,Port Calvintown,0,Russian Federation,2022-04-29T01:18:44Z,0
53.38,35,60803.37,120.06,Total local synergy,Alexanderview,1,French Guiana,2022-04-29T01:05:34Z,1
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2022-04-29T00:53:11Z,0
82.79,34,47997.75,132.08,Team-oriented zero-defect initiative,South Aaron,0,American Samoa,2022-04-29T00:52:29Z,1
49.13,32,41097.17,120.49,Optimized intermediate help-desk,Morganport,0,Fiji,2022-04-29T00:45:19Z,1
48.86,35,62463.7,128.37,Universal empowering adapter,Elizabethbury,1,Saint Martin,2022-04-29T00:44:57Z,1
83.98,36,68305.91,194.62,Profit-focused secondary portal,West Gregburgh,0,Zimbabwe,2022-04-29T00:44:44Z,0
36.49,52,42136.33,196.61,Object-based system-worthy superstructure,Ryanhaven,1,Lao People's Democratic Republic,2022-04-29T00:41:46Z,1
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,1,Cook Islands,2022-04-29T00:37:54Z,1
84.53,35,54773.99,236.29,User-centric composite contingency,Brownview,0,Myanmar,2022-04-29T00:32:02Z,0
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,0,Belize,2022-04-29T00:28:10Z,0
63.8,38,36037.33,108.7,Adaptive demand-driven knowledgebase,Colebury,1,Tuvalu,2022-04-29T00:27:58Z,1
66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,0,Panama,2022-04-29T00:26:15Z,0
81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2022-04-29T00:23:38Z,0
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2022-04-29T00:23:10Z,0
63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,0,Rwanda,2022-04-29T00:17:27Z,1
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,0,Niue,2022-04-29T00:06:20Z,0
65.07,34,73941.91,227.53,Monitored explicit hierarchy,Princebury,1,Anguilla,2022-04-29T00:05:48Z,0
88.82,36,58638.75,169.1,Assimilated discrete strategy,East Johnport,0,Slovakia (Slovak Republic),2022-04-29T00:05:37Z,0
46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,2022-04-29T00:02:53Z,1